title,PublishedAt,ID,views,likes,comments,Last_updated_Date
대역전승으로 4위 탈환 성공! 승리의 요정 치타핑! 쌍촐핑! 황제핑! [위즈덕후],2024-09-10T23:30:00Z,am6KDlmpF1g,20311,860,115,2024-11-26
쌍(촐)남자식 사고🔥 4번 타자는 네 번째 나가는 타자  [콕터뷰],2024-09-10T18:20:37Z,2fVCfxdoH_s,6414,617,71,2024-11-26
야구선수들이 스카우트라면? 160km 투수 유망주 vs 30홈런 타자 유망주 [킅리닝타임],2024-09-09T09:30:01Z,5b7cLR0YhUM,50546,1020,168,2024-11-26
[대학생리포터] 요즘 인터뷰의 정석 (feat. 상현 선배) #원상현 #2025 #신인드래프트,2024-09-09T03:00:31Z,WnFaVP_RbWg,10963,648,47,2024-11-26
진짜_진짜_최종_워터페스티벌.mov [WIZIP],2024-09-08T10:55:58Z,jf7QuPavYSk,14338,603,46,2024-11-26
4위를 알리는 쌍촐 사이렌🚨 #문상철 #홈런 #사이렌,2024-09-06T14:16:26Z,gSRRBcnNoY0,30955,1053,37,2024-11-26
위즈워크 본다 안 본다 읏쇼읏쇼하면서 열심히 만든 치어리딩 스쿨 체험기 | 치어리더 | 위즈워크 [대학생리포터],2024-09-06T13:48:59Z,_p-j2yTnQMU,7842,279,25,2024-11-26
투타가 완벽했던 kt wiz의 느좋(느낌 좋은) 야구✨ [위즈덕후],2024-09-06T05:31:34Z,9bXlpHb-jzE,21685,840,131,2024-11-26
[대학생리포터] 야 우규민 9월 브리핑 나오냐? #우규민 #9월 #홈경기 #안내,2024-09-06T03:00:31Z,VEYFUk3nx_U,13611,637,36,2024-11-26
우준이도 껴줘야죠! 우준이는 왜 빼요.. 95즈 도합 9안타 친 그날 [WIZIP],2024-09-03T09:30:12Z,ZCCS2mcxYLw,19264,681,56,2024-11-26
