title,PublishedAt,ID,views,likes,comments,Last_updated_Date
#LG트윈스 트윈스의 4번 타자 문은우의 100타점 돌파👊,2024-09-28T14:48:33Z,M-n4YOkEQ0Y,41886,2412,80,2024-11-26
#LG트윈스 누오의 100타점 돌파 기념 축하 샤워🚿,2024-09-28T14:02:53Z,-zq7KqFr2wc,160038,5224,133,2024-11-26
9월 28일 LG vs 삼성 [2024 정규시즌 하이라이트],2024-09-28T13:57:09Z,I46agg-5GLY,49621,1409,116,2024-11-26
[LIVE] 엘튜브는 소통을 하고싶어서 정규 시즌 결산편,2024-09-27T11:11:05Z,r8Fa0RVPs5o,57433,1226,176,2024-11-26
홈 피날레를 맞이한 선수들의 소감 한 마디💪 [엘코더],2024-09-27T05:00:41Z,s6Gmo_MLa4s,50135,2198,247,2024-11-26
역대 최다 139만 관중 돌파! 2024시즌 홈 최종전 [트윈스REC],2024-09-27T03:00:30Z,OCPg0NpSGNA,25170,1355,54,2024-11-26
단일 시즌 최다 관중 신기록과 함께한 홈 최종전 승리🎉 9월 26일 [덕아웃 직캠],2024-09-27T01:00:00Z,aCz3ydugVi0,52263,2096,199,2024-11-26
#LG트윈스 승리를 이끈 철벽 수비,2024-09-26T16:45:02Z,zh52YQnAwgo,49737,2326,105,2024-11-26
#LG트윈스 3안타 2타점 2장타 완벽리드의 이주헌💫,2024-09-26T16:12:37Z,AdIBdDqRtXg,32704,2247,115,2024-11-26
에르난데스 5이닝 10K 삼진쇼❤‍🔥 [9월 26일 에르난데스 하이라이트],2024-09-26T15:29:58Z,RmopTrEOZp0,12535,518,46,2024-11-26
9월 26일 키움 vs LG [2024 정규시즌 하이라이트],2024-09-26T14:34:18Z,lOQ-e9bTlJc,43083,1277,104,2024-11-26
#LG트윈스 2024시즌 팬 여러분 정말 감사합니다! 💌,2024-09-26T14:06:26Z,iMCv2wnsCBM,33378,2182,73,2024-11-26
또다시 맞이할 영광을 위해👊,2024-09-26T12:47:12Z,Uec5GLyz7b8,32495,2558,227,2024-11-26
#LG트윈스 4출루 문보물은 야유를 받아 (🔒우~~👎),2024-09-25T08:17:33Z,gzgIu-WdKfs,28726,1488,15,2024-11-26
#LG트윈스 수수수수퍼노바 루키즈 데이가 다가와 Ah Oh Ay🌱,2024-09-25T07:02:46Z,PIOGkofHIhk,34090,1486,20,2024-11-26
정규시즌 3위 확정과 함께 이룬 대승🤟 9월 24일 [덕아웃 직캠],2024-09-25T01:00:12Z,E9gtDsNsfTE,52288,2064,139,2024-11-26
#LG트윈스 임짱규의 시즌 10승을 완성하는 삼진쇼🎉,2024-09-24T17:40:00Z,WgVK54Jq5ew,22040,1582,37,2024-11-26
#LG트윈스 아름다운 호수비 퍼레이드🌟,2024-09-24T17:10:00Z,s0o8mWeEV_Y,59350,2522,88,2024-11-26
