title,PublishedAt,ID,URL,views,likes,comments,Last_updated_Date
‘응답하라 피치컴’ 최진혁 고경표 배우 시구 비하인드 📸,2024-09-22 22:06,dxsqJUZyPdA,https://www.youtube.com/watch?v=dxsqJUZyPdA,91463,3083,250,2024-11-25
'이제 한국시리즈를 향해!' 정규시즌 우승 후 더그아웃비하인드 🥇,2024-09-20 12:12,1vjj-YFlCVs,https://www.youtube.com/watch?v=1vjj-YFlCVs,202773,5490,0,2024-11-25
"(성범 고프로캠 有) 감사 인사, 단체 사진, 대형 두루치기, 함께 응원까지- 정규시즌 우승 그 이후!",2024-09-19 00:12,RSbI0e21AUs,https://www.youtube.com/watch?v=RSbI0e21AUs,213405,6548,1273,2024-11-25
이게 워터밤이야 샴페인 세리머니야🍾 (갸티비 ONLY),2024-09-18 18:51,W6eMpGGx0rU,https://www.youtube.com/watch?v=W6eMpGGx0rU,364116,11253,922,2024-11-25
광주 토박이 한준수 김기훈이 구운 광주 육전 맛? 🍴,2024-09-18 16:30,Dru7TvHX7lY,https://www.youtube.com/watch?v=Dru7TvHX7lY,159691,4599,310,2024-11-25
9월 17일 우승날 더그아웃 뒷편에선..🏆,2024-09-18 01:15,1-TGdXPiykg,https://www.youtube.com/watch?v=1-TGdXPiykg,294651,7150,433,2024-11-25
2024 KBO 정규시즌 우승에 이르기까지｜KIA 타이거즈 매드무비,2024-09-17 21:29,r7WZvVPNa0s,https://www.youtube.com/watch?v=r7WZvVPNa0s,281487,13448,1034,2024-11-25
한 방에 승부를 뒤집은 이우성 역전 홈런! ｜9월 16일 KIA vs KT 덕관,2024-09-17 09:35,DPxBEvM8uMw,https://www.youtube.com/watch?v=DPxBEvM8uMw,119783,3692,244,2024-11-25
"""울컥해요.."" 매직넘버 1 됐을 때 선수들 반응",2024-09-16 23:35,Wy2WPxTpDjw,https://www.youtube.com/watch?v=Wy2WPxTpDjw,146959,4863,289,2024-11-25
🏆 MAGIC NUMBER '1' ｜9월 16일 KIA vs KT 하이라이트,2024-09-16 18:24,Y-bQoLtvtko,https://www.youtube.com/watch?v=Y-bQoLtvtko,91507,2830,213,2024-11-25
최형우가 끝냈다! | 9월 14일 KIA vs 키움 챔필덕관,2024-09-15 09:18,I59RNm0ZAck,https://www.youtube.com/watch?v=I59RNm0ZAck,87544,2909,195,2024-11-25
매직넘버 김선빈(3) 🏆｜9월 14일 KIA vs 키움 하이라이트,2024-09-14 21:02,FxR1n2YrvHQ,https://www.youtube.com/watch?v=FxR1n2YrvHQ,63372,2011,160,2024-11-25
최형우에게 물을 뿌리는 자 누구?🌊 끝내기 직캠!,2024-09-14 20:53,5UStx0Ncxds,https://www.youtube.com/watch?v=5UStx0Ncxds,90157,3414,208,2024-11-25
너구리 한 마리 몰고 가세요~💛 농심 스폰서 데이 (광고),2024-09-13 18:32,Bc4QXLcmCJ0,https://www.youtube.com/watch?v=Bc4QXLcmCJ0,38274,1304,64,2024-11-25
오늘 점심 친구 ‘5연승 타이거즈’ 등장 👋🏻 | 9월 12일 KIA vs 롯데 챔필덕관,2024-09-13 12:16,7m4fTv3Yqrs,https://www.youtube.com/watch?v=7m4fTv3Yqrs,116347,3570,242,2024-11-25
라우어 9K 무실점! 5연승!｜9월 12일 KIA vs 롯데 하이라이트,2024-09-12 22:35,HBjNtfliO_8,https://www.youtube.com/watch?v=HBjNtfliO_8,82882,2453,179,2024-11-25
"‘역대 최다 신인 등장’ 2025 신인 드래프트 전략, 11명 신인 지명 이유 공개",2024-09-12 03:31,_ITR5g_ur-4,https://www.youtube.com/watch?v=_ITR5g_ur-4,283535,6899,598,2024-11-25
"2025 신인 드래프트 D-1, 스카우트는 어떻게 신인을 선발하나",2024-09-10 18:00,3g7S-JohW08,https://www.youtube.com/watch?v=3g7S-JohW08,162083,3917,400,2024-11-25
"네일 시구 누가 기획했나, 첫 불펜카 타본 느낌까지! 시구 비하인드",2024-09-09 12:00,igwOSISNlGo,https://www.youtube.com/watch?v=igwOSISNlGo,167977,6739,647,2024-11-25
타이거즈 80승 선착하는 속도로 달려왔습니다｜9월 8일 KIA vs 키움 챔필덕관,2024-09-08 22:03,CusNOellj_c,https://www.youtube.com/watch?v=CusNOellj_c,136691,4588,314,2024-11-25
★80승★ 선착!｜ 9월 8일 KIA vs 키움 하이라이트,2024-09-08 18:08,tM5ByWJxdi8,https://www.youtube.com/watch?v=tM5ByWJxdi8,53384,1703,112,2024-11-25
만원 관중 앞에서 KKKKKKKK! | 9월 7일 KIA vs 키움 챔필덕관,2024-09-08 09:00,gEFuKediyYM,https://www.youtube.com/watch?v=gEFuKediyYM,117975,3265,163,2024-11-25
스타우트 KBO 첫 승 파티를 위해 분주해진 뒷편 공개🌊 🪣,2024-09-07 22:49,HKJLrH6ivUM,https://www.youtube.com/watch?v=HKJLrH6ivUM,176002,3769,404,2024-11-25
구단 역사상 최다 매진! 스타우트 첫 승!｜ 9월 7일 KIA vs 키움 하이라이트,2024-09-07 22:04,yIbbSJEbnaU,https://www.youtube.com/watch?v=yIbbSJEbnaU,38476,1342,84,2024-11-25
"황동하+한준수 배터리, 大勝 🏆 | 9월 6일 KIA vs 키움 챔필덕관",2024-09-07 12:24,w0EwPwppjnc,https://www.youtube.com/watch?v=w0EwPwppjnc,101153,3087,211,2024-11-25
